order_id,customer_id,product,quantity,unit_price,line_total
O82161,C1036,Mechanical Keyboard,1,22.58,22.58
O53100,C1046,Screen Protector,2,150.12,300.24
O63368,C1029,Wireless Mouse,2,111.43,222.86
O67896,C1017,Phone Case,3,98.18,294.54
O40382,C1043,Phone Case,1,167.54,167.54
O75034,C1004,Screen Protector,1,105.89,105.89
O27436,C1009,Webcam,2,34.66,69.32
O11105,C1052,Portable Charger,2,80.73,161.46
O44159,C1052,Portable Charger,3,101.48,304.44
O47173,C1035,Webcam,3,111.51,334.53000000000003
O95093,C1013,Usb-C Cable,2,16.85,33.7
O32734,C1008,Bluetooth Headphones,1,36.38,36.38
O50416,C1040,Desk Lamp,2,39.8,79.6
O43352,C1029,Laptop Sleeve,3,148.43,445.29
O89445,C1038,Wireless Mouse,3,76.42,229.26
O24029,C1056,Wireless Mouse,1,135.7,135.7
O95597,C1058,Wireless Mouse,3,32.02,96.06
O98987,C1019,Portable Charger,3,158.66,475.98
O77499,C1046,Usb-C Cable,2,16.7,33.4
O25386,C1002,Mechanical Keyboard,2,112.97,225.94
O85448,C1059,Portable Charger,3,75.72,227.16
O97350,C1038,Laptop Stand,1,91.07,91.07
O81641,C1028,Phone Case,2,114.47,228.94
O95597,C1058,Bluetooth Headphones,1,175.2,175.2
O25098,C1022,Screen Protector,2,32.49,64.98
O68065,C1048,Laptop Sleeve,3,39.78,119.34
O92132,C1005,Portable Charger,1,132.58,132.58
O30868,C1031,Laptop Sleeve,1,42.16,42.16
O43022,C1019,Usb-C Cable,3,95.9,287.70000000000005
O73083,C1024,Mechanical Keyboard,2,127.27,254.54
O98458,C1028,Usb-C Cable,2,164.75,329.5
O10358,C1035,Mechanical Keyboard,2,86.56,173.12
O70217,C1016,Laptop Sleeve,2,100.23,200.46
O70925,C1048,Bluetooth Headphones,2,60.39,120.78
O85448,C1059,Phone Case,1,156.51,156.51
O14522,C1003,Hdmi Adapter,1,121.97,121.97
O61727,C1046,Desk Lamp,2,174.92,349.84
O72753,C1059,Screen Protector,2,170.82,341.64
O84828,C1027,Laptop Stand,2,52.89,105.78
O77499,C1046,Mechanical Keyboard,3,147.92,443.76
