customer_id,total_spend,num_orders,avg_basket_value,cluster
C1000,7016.32,12,200.4662857142857,2
C1001,4122.705,8,187.39568181818183,0
C1002,9937.119999999999,18,202.79836734693876,2
C1003,5073.515,10,220.5876086956522,1
C1004,4756.07,10,198.16958333333332,1
C1005,6376.66,13,172.34216216216217,2
C1006,4353.095,9,181.37895833333334,0
C1007,2149.84,6,165.37230769230771,0
C1008,6557.95,11,187.37,2
C1009,4449.17,8,202.235,1
C1010,6369.26,10,199.039375,1
C1011,5036.325,9,218.97065217391304,1
C1012,6190.8,11,176.88,2
C1013,2703.04,7,128.71619047619046,0
C1014,5022.12,11,179.36142857142858,0
C1015,7325.445,15,192.77486842105262,2
C1016,3125.8799999999997,10,173.65999999999997,0
C1017,4040.9700000000003,9,183.68045454545455,0
C1018,6370.72,13,163.35179487179488,2
C1019,6738.1,9,232.348275862069,1
C1020,5802.24,12,187.1690322580645,2
C1021,4448.76,10,171.10615384615386,0
C1022,4216.325,11,145.3905172413793,0
C1023,3601.0899999999997,12,171.48047619047617,0
C1024,4612.26,7,230.613,1
C1025,3006.4900000000002,6,214.74928571428572,1
C1026,7372.595,15,194.01565789473685,2
C1027,5949.46,16,180.28666666666666,2
C1028,3178.85,8,167.3078947368421,0
C1029,10433.295,16,217.3603125,2
C1030,6162.745,17,176.07842857142856,2
C1031,8368.4,17,194.6139534883721,2
C1032,2764.7,6,184.31333333333333,0
C1033,4920.6849999999995,9,205.02854166666665,1
C1034,6022.400000000001,11,215.08571428571432,1
C1035,6949.515,14,173.737875,2
C1036,6319.1,17,137.3717391304348,2
C1037,6881.75,16,181.09868421052633,2
C1038,5320.86,12,177.362,2
C1039,5689.275,10,210.71388888888887,1
C1040,4499.889999999999,11,149.99633333333333,0
C1041,8658.35,16,192.4077777777778,2
C1042,3251.925,8,191.28970588235296,0
C1043,2453.49,6,223.04454545454544,1
C1044,4521.27,12,155.90586206896552,0
C1045,5158.93,10,198.42038461538462,1
C1046,6713.965,10,231.5160344827586,1
C1047,4816.48,9,218.93090909090907,1
C1048,5779.75,13,175.1439393939394,2
C1049,7457.72,11,233.05375,1
C1050,4783.7,11,207.98695652173913,1
C1051,7544.91,17,179.6407142857143,2
C1052,3714.69,4,285.74538461538464,1
C1053,4053.67,8,193.03190476190477,0
C1054,2068.91,5,147.7792857142857,0
C1055,2112.35,7,176.02916666666667,0
C1056,6350.9,13,186.79117647058823,2
C1057,4746.33,10,215.74227272727273,1
C1058,3613.36,8,172.06476190476192,0
C1059,4802.3099999999995,10,218.28681818181815,1
