order_id,customer_id,product,quantity,unit_price
O82161,C1036,Mechanical Keyboard,1,22.58
O53100,C1046,Screen Protector,2,150.12
O63368,C1029,Wireless Mouse,2,111.43
O67896,c1017,Phone Case,3,98.18
O40382,C1043,Phone Case,1,167.54
O75034,C1004,Screen Protector,1,105.89
O27436,c1009,Webcam,2,34.66
O11105,C1052,Portable Charger,2,
O44159,C1052,Portable Charger,3,101.48
O47173,C1035,Webcam,3,111.51
O95093,C1013,USB-C Cable,2,16.85
O32734,C1008,  Bluetooth Headphones  ,1,36.38
O50416,C1040,Desk Lamp,2,39.8
O43352,C1029,  Laptop Sleeve  ,3,148.43
O89445,C1038,  Wireless Mouse  ,3,76.42
O24029,C1056,Wireless Mouse,1,135.7
O95597,C1058,Wireless Mouse,3,32.02
O98987,C1019,Portable Charger,3,158.66
O77499,C1046,USB-C Cable,2,16.7
O25386,C1002,Mechanical Keyboard,2,112.97
O85448,c1059,Portable Charger,3,75.72
O97350,C1038,Laptop Stand,1,
O81641,C1028,Phone Case,2,114.47
O95597,C1058,Bluetooth Headphones,1,175.2
O25098,C1022,Screen Protector,2,32.49
O68065,C1048,Laptop Sleeve,3,39.78
O92132,C1005,Portable Charger,1,132.58
O30868,C1031,Laptop Sleeve,1,42.16
O43022,C1019,USB-C Cable,3,95.9
O73083,C1024,Mechanical Keyboard,2,127.27
O98458,C1028,USB-C Cable,2,164.75
O10358,C1035,  Mechanical Keyboard  ,2,86.56
O70217,C1016,Laptop Sleeve,2,100.23
O70925,C1048,Bluetooth Headphones,2,60.39
O85448,C1059,Phone Case,1,156.51
O14522,c1003,HDMI Adapter,1,121.97
O61727,C1046,Desk Lamp,2,174.92
O72753,C1059,Screen Protector,2,170.82
O84828,C1027,Laptop Stand,2,52.89
O77499,C1046,Mechanical Keyboard,3,147.92
O94125,C1031,HDMI Adapter,1,144.96
O46842,C1027,Wireless Mouse,2,172.05
O47700,C1025,Bluetooth Headphones,1,135.43
O52904,C1012,Wireless Mouse,3,15.57
O98472,C1013,Mechanical Keyboard,1,106.47
O99173,C1044,Portable Charger,1,95.78
O91877,C1020,HDMI Adapter,1,63.62
O61615,C1045,Bluetooth Headphones,3,100.7
O81741,C1005,LAPTOP STAND,3,55.84
O31884,C1031,Screen Protector,3,71.96
O17144,C1000,Webcam,2,38.76
O18819,C1051,Bluetooth Headphones,2,15.61
O44159,C1052,Bluetooth Headphones,1,70.58
O96474,C1015,USB-C Cable,2,163.26
O22502,C1041,USB-C Cable,2,114.04
O17339,C1047,Webcam,1,45.65
O69641,C1002,WEBCAM,1,91.73
O97424,C1041,LAPTOP SLEEVE,2,104.69
O75514,C1034,USB-C Cable,3,128.91
O43947,C1049,Desk Lamp,3,
O84757,C1001,Bluetooth Headphones,3,93.44
O57638,C1029,Laptop Stand,3,75.44
O41224,C1027,Webcam,2,140.67
O23951,C1011,Bluetooth Headphones,3,132.29
O45283,C1001,Wireless Mouse,2,66.81
O63665,C1019,Desk Lamp,1,96.99
O18934,C1006,HDMI Adapter,1,165.75
O31856,C1003,Screen Protector,1,72.41
O30052,C1026,Phone Case,3,82.9
O39068,C1026,HDMI Adapter,2,70.54
O28423,C1004,Webcam,1,168.91
O21297,C1050,PORTABLE CHARGER,2,
O28407,C1015,Wireless Mouse,3,25.65
O84278,C1035,Screen Protector,2,40.1
O58819,C1029,Bluetooth Headphones,3,36.02
O19337,C1051,USB-C Cable,3,109.95
O98079,C1041,Mechanical Keyboard,2,153.9
O45283,C1001,Phone Case,2,29.51
O18126,C1044,USB-C Cable,2,166.09
O72822,C1047,USB-C Cable,2,29.92
O85308,C1010,Laptop Sleeve,2,67.2
O16051,C1010,HDMI Adapter,3,170.75
O72616,C1021,  Bluetooth Headphones  ,1,27.62
O55955,C1035,Laptop Stand,2,9.31
O82151,C1020,  Phone Case  ,3,98.24
O38369,C1058,USB-C Cable,1,162.1
O28139,C1048,Bluetooth Headphones,1,122.1
O72822,C1047,Laptop Stand,1,
O51048,C1048,Webcam,1,92.94
O69486,C1036,Screen Protector,1,68.84
O46842,C1027,USB-C Cable,1,62.82
O60785,C1038,HDMI Adapter,2,167.17
O80442,C1051,Laptop Stand,3,65.53
O60012,C1037,HDMI Adapter,1,82.85
O48165,C1002,Laptop Stand,2,75.61
O20114,C1049,  USB-C Cable  ,1,140.63
O39922,C1015,Bluetooth Headphones,2,65.74
O28162,C1026,HDMI Adapter,1,154.25
O98472,C1013,  Wireless Mouse  ,1,113.05
O86483,C1049,Laptop Sleeve,3,90.64
O40771,C1045,Bluetooth Headphones,1,117.0
O39329,C1000,HDMI Adapter,2,154.47
O97835,C1005,Mechanical Keyboard,1,25.99
O33791,C1030,Desk Lamp,1,87.02
O77559,C1030,Phone Case,2,28.43
O99486,C1057,HDMI Adapter,3,59.32
O26193,C1012,Wireless Mouse,3,144.06
O62354,C1000,Wireless Mouse,3,166.1
O73472,c1005,PHONE CASE,2,88.68
O45804,C1042,Portable Charger,3,91.7
O73472,C1005,HDMI Adapter,3,29.29
O52335,C1030,Portable Charger,1,69.73
O28827,C1027,HDMI Adapter,3,103.6
O10157,C1030,Portable Charger,3,162.28
O68360,C1020,Portable Charger,3,86.78
O84967,C1018,Phone Case,2,18.88
O65448,C1026,Webcam,2,36.7
O89920,C1037,Laptop Sleeve,1,137.57
O49363,C1058,Mechanical Keyboard,2,80.32
O46735,C1057,  Screen Protector  ,2,128.1
O22363,C1036,Laptop Stand,2,24.67
O96960,C1041,Webcam,3,121.66
O97835,c1005,Webcam,3,147.93
O23164,C1020,Webcam,3,168.37
O52030,C1021,USB-C Cable,2,56.21
O51976,C1059,HDMI Adapter,2,33.42
O69441,C1056,Webcam,3,76.58
O93665,C1012,Laptop Stand,2,104.02
O74923,C1047,HDMI Adapter,1,174.83
O68422,C1012,Wireless Mouse,2,19.0
O95093,C1013,Webcam,1,106.94
O77147,C1008,Webcam,3,59.41
O21171,C1015,USB-C Cable,3,9.71
O93744,c1053,HDMI Adapter,1,174.75
O30489,C1048,Laptop Sleeve,2,117.06
O70925,C1048,Mechanical Keyboard,3,32.49
O49513,C1006,Bluetooth Headphones,3,142.86
O85308,C1010,USB-C Cable,3,118.75
O51035,C1037,Mechanical Keyboard,3,93.97
O86869,C1047,USB-C Cable,3,172.54
O88018,C1050,USB-C Cable,1,118.47
O85308,C1010,Webcam,3,80.12
O39820,C1042,Screen Protector,2,103.22
O18819,C1051,Laptop Sleeve,2,140.88
O95980,C1014,USB-C Cable,1,16.53
O87664,C1015,HDMI Adapter,3,
O79054,C1019,  Wireless Mouse  ,3,129.35
O73483,C1031,Screen Protector,1,176.69
O95196,C1027,Laptop Sleeve,2,59.92
O42426,C1029,Bluetooth Headphones,2,166.63
O91108,C1029,Desk Lamp,3,
O36698,C1036,Wireless Mouse,2,60.74
O27888,C1012,Wireless Mouse,1,11.11
O32570,C1041,Portable Charger,1,55.37
O18729,C1039,Laptop Sleeve,2,163.47
O14522,C1003,Webcam,2,166.49
